文件1,文件2,相似度
sub004,sub143,0.4531
sub004,sub144,0.4862
sub004,sub145,0.4394
sub004,sub146,0.3096
sub004,sub147,0.4678
sub004,sub148,0.4141
sub004,sub149,0.5205
sub004,sub150,0.5123
sub004,sub151,0.3784
sub004,sub152,0.4562
sub004,sub153,0.3557
sub004,sub154,0.4993
sub004,sub155,0.3251
sub004,sub156,0.4514
sub004,sub157,0.4817
sub004,sub158,0.4166
sub004,sub159,0.5253
sub004,sub160,0.4911
sub004,sub161,0.4450
sub004,sub162,0.3969
sub004,sub163,0.5355
sub004,sub164,0.3732
sub004,sub165,0.4004
sub004,sub166,0.4279
sub004,sub167,0.4817
sub004,sub168,0.4836
sub004,sub169,0.5076
sub004,sub170,0.4214
sub004,sub171,0.4530
sub004,sub172,0.4981
sub004,sub173,0.4394
sub004,sub174,0.5972
sub005,sub006,0.6562
sub005,sub007,0.4206
sub005,sub008,0.5325
sub005,sub009,0.6118
sub005,sub010,0.5877
sub005,sub011,0.3822
sub005,sub012,0.7240
sub005,sub013,0.6359
sub005,sub014,0.6573
sub005,sub015,0.5519
sub005,sub016,0.4523
sub005,sub017,0.4183
sub005,sub018,0.5372
sub005,sub019,0.4146
sub005,sub020,0.5195
sub005,sub021,0.5960
sub005,sub022,0.5503
sub005,sub023,0.5105
sub005,sub024,0.4795
sub005,sub025,0.4803
sub005,sub026,0.3583
sub005,sub027,0.4167
sub005,sub028,0.6080
sub005,sub029,0.4315
sub005,sub031,0.5081
sub005,sub032,0.5894
sub005,sub033,0.5879
sub005,sub034,0.5708
sub005,sub035,0.5409
sub005,sub036,0.7759
sub005,sub037,0.6418
sub005,sub038,0.5307
sub005,sub039,0.5727
sub005,sub040,0.5819
sub005,sub041,0.5231
sub005,sub042,0.6180
sub005,sub043,0.4437
sub005,sub044,0.6984
sub005,sub045,0.5292
sub005,sub048,0.4242
sub005,sub049,0.4151
sub005,sub050,0.5082
sub005,sub051,0.5176
sub005,sub052,0.7011
sub005,sub053,0.4313
sub005,sub054,0.5859
sub005,sub055,0.5943
sub005,sub056,0.6606
sub005,sub057,0.6564
sub005,sub058,0.5480
sub005,sub059,0.3265
sub005,sub060,0.5688
sub005,sub061,0.7078
sub005,sub062,0.5514
sub005,sub063,0.4721
sub005,sub064,0.5903
sub005,sub065,0.5256
sub005,sub066,0.6720
sub005,sub067,0.5275
sub005,sub068,0.5999
sub005,sub069,0.5481
sub005,sub070,0.7265
sub005,sub071,0.4649
sub005,sub072,0.5259
sub005,sub073,0.5656
sub005,sub074,0.4741
sub005,sub075,0.4437
sub005,sub076,0.5589
sub005,sub077,0.5514
sub005,sub078,0.5300
sub005,sub079,0.4186
sub005,sub080,0.6560
sub005,sub081,0.6459
sub005,sub082,0.5785
sub005,sub083,0.5550
sub005,sub084,0.6198
sub005,sub085,0.6033
sub005,sub086,0.5409
sub005,sub087,0.5631
sub005,sub088,0.4710
sub005,sub089,0.5127
sub005,sub090,0.6229
sub005,sub091,0.4793
sub005,sub092,0.4908
sub005,sub093,0.5958
sub005,sub094,0.4601
sub005,sub095,0.5122
sub005,sub096,0.5865
sub005,sub097,0.5941
sub005,sub098,0.4826
sub005,sub099,0.5684
sub005,sub100,0.5130
sub005,sub101,0.3718
sub005,sub102,0.5749
sub005,sub103,0.4512
sub005,sub104,0.6559
sub005,sub105,0.3391
sub005,sub106,0.5266
sub005,sub108,0.5779
sub005,sub109,0.6521
sub005,sub110,0.3847
sub005,sub111,0.5966
sub005,sub112,0.5984
sub005,sub113,0.3798
sub005,sub114,0.5067
sub005,sub115,0.4854
sub005,sub117,0.4830
sub005,sub119,0.4450
sub005,sub120,0.6098
sub005,sub121,0.5954
sub005,sub122,0.5660
sub005,sub123,0.5335
sub005,sub124,0.4997
sub005,sub125,0.6296
sub005,sub126,0.4714
sub005,sub127,0.6171
sub005,sub128,0.5567
sub005,sub129,0.4080
sub005,sub130,0.6026
sub005,sub131,0.6363
sub005,sub132,0.6327
sub005,sub133,0.4179
sub005,sub134,0.6186
sub005,sub135,0.6371
sub005,sub136,0.5341
sub005,sub137,0.4775
sub005,sub138,0.6458
sub005,sub139,0.5437
sub005,sub140,0.6755
sub005,sub141,0.5919
sub005,sub142,0.4757
sub005,sub143,0.6545
sub005,sub144,0.5102
sub005,sub145,0.5767
sub005,sub146,0.3199
sub005,sub147,0.4793
